FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
294	-956.335	-829.243	1173.75	-660.944	797.879	718.778	-182.588	101.647	
295	-954.8	-813.369	1168.1	-660.991	783.295	721.556	-217.905	-89.9048	
296	-954.461	-806.059	1161.63	-661.207	766.881	726.139	-211.2	-124.8	
297	-958.918	-796.807	1151.43	-659.314	752.073	728.478	-224.696	4.17391	
298	-962.256	-783.683	1142.1	-662.245	732.791	735.637	-223.158	-90.1053	
299	-967.043	-782.586	1136.03	-661.641	716.369	742.04	-228.129	-132.129	
300	-965.02	-775.748	1130.24	-656.462	701.925	754.544	-235.733	-222.933	
301	-983.699	-791.98	1129.14	-656.859	684.056	759.315	-312.45	-385.438	
302	-1011.87	-817.184	1124.87	-651.932	667.837	762.258	-355.733	-406.755	
303	-1013.73	-813.012	1123.99	-641.21	653.767	763.645	-408.947	-539.168	
304	-1015.43	-827.132	1123.63	-630.042	644.291	762.034	-300.255	-115.404	
305	-1029.76	-844.23	1120.43	-618.744	633.092	758.381	-318.915	-181.424	
306	-1036.91	-854.426	1115.77	-609.873	622.86	754.696	-356.52	-300.655	
307	-1121.75	-924.279	1111.39	-600.616	608.367	753.03	-485.881	-533.485	
308	-1070.64	-906.029	1110.65	-588.011	591.744	747.296	-406.735	-458.975	
309	-1062.34	-905.788	1107.31	-573.161	576.616	746.327	-400.4	-519.266	
310	-1076.59	-923.094	1101.15	-556.135	555.368	742.751	-388.821	-432.07	
311	-1072.98	-931.269	1101.12	-534.506	528.402	741.204	-363.604	-390.506	
312	-1057.62	-924.384	1099.76	-511.845	505.827	735.713	-312.32	-394.24	
313	-1069.19	-939.499	1092.94	-497.037	482.933	729.157	-348.093	-424	
314	-1054.85	-937.473	1087.41	-479.389	449.634	726.854	-327.024	-356.683	
315	-1049.13	-931.435	1083.25	-459.516	415.199	723.216	-301.714	-283.429	
316	-1045.13	-933.653	1079.26	-431.542	382.129	717.995	-306.286	-288	
317	-1042.54	-929.379	1074.59	-408.51	345.034	716.464	0	0	
318	-1024.63	-911.8	1070.58	-392.743	323.996	713.304	0	0	
319	-1017.79	-906.15	1069.01	-376.151	295.976	706.414	0	0	
320	-997.406	-880.253	1063.06	-350.467	268.794	705.221	0	0	
321	-985.527	-856.358	1061.15	-331.887	248.07	702.999	0	0	
322	-980.521	-844.326	1053.12	-288.581	209.627	706.414	0	0	
323	-973.675	-821.631	1052.75	-282.701	196.587	704.088	0	0	
324	-960.518	-806.813	1044.62	-259.668	174.437	706.215	0	0	
325	-958.902	-795.585	1041.32	-235.192	163.765	703.22	0	0	
326	-949.225	-784.375	1035.81	-236.92	195.737	671.248	0	0	
327	-946.732	-771.561	1009.03	-329.664	412.295	470.387	0	0	
328	-939.979	-754.91	781.926	-548.741	536.083	308.279	-215.742	-528.516	
329	-936.211	-744.624	904	-520	529.247	305.551	-184	-528	
330	-1031.97	-737.287	-119.901	-805.531	536.537	296.619	-262.841	-638.814	
331	-1110.8	-722.149	-269.342	-676.173	540.48	292.564	0	0	
332	-981.284	-701.482	-120.96	-735.2	558.491	275.644	-233.143	-549.388	
333	-1189.89	-684.14	0	0	564.568	273.765	-272.594	-675.786	
334	-1022.25	-667.73	-132.138	-725.802	580.071	260.144	-261.863	-534.107	
335	-1287.38	-639.306	-179.999	-705.871	581.771	257.745	-329.006	-653.72	
336	-1314.28	-596.885	-281.813	-683.958	585.888	257.899	-405.333	128	
337	-951.949	-640.361	-211.2	-147.2	568.911	273.185	-849.859	350.555	
338	-930.866	-596.876	-206.933	91.7333	553.913	290.391	-286	-336.5	
339	-991.154	-569.723	-448	624	522.16	313.601	-179.733	-588.268	
340	-999.429	-553.248	-59.6432	-746.667	501.592	329.234	-212.419	-562.121	
341	-1071.12	-522.062	830.975	-189.004	446.628	376.74	-173.841	-649.259	
342	-1242.61	-464.596	887.987	82.3788	-51.1731	670.472	-186.223	-688.06	
343	-1136.33	-479.697	876.094	103.544	-79.8281	668.195	-151.53	-682.858	
344	-1027	-495.928	829.233	142.326	-113.858	672.744	-116.588	-670.02	
345	-1101.44	-452.246	820.841	151.539	-115.995	673.155	-111.813	-699.415	
346	-1040.63	-463.63	767.428	183.832	-138.94	678.397	-78.7702	-705.568	
347	-1114.46	-425.23	659.591	272.333	-207.453	659.594	-82.2034	-713.149	
348	-1139.33	-412.072	702.982	253.82	-189.366	650.479	-69.0738	-712.841	
349	-1211.25	-377.71	718.886	256.77	-192.062	638.95	-68.5685	-706.381	
350	-1243.85	-360.804	720.2	266.109	-202.409	624.104	-60.1765	-710.685	
351	-1242.53	-374.808	715.925	268.608	-220.195	612.1	-45.6281	-712.099	
352	-1227.96	-398.91	708.838	287.917	-243.511	602.715	-18.7518	-700.396	
353	-1223.35	-421.395	705.763	280.32	-252.224	599.036	-9.15193	-685.485	
354	-1197.25	-446.646	688.032	270.153	-278.987	590.48	13.168	-694.043	
355	-1225.88	-469.298	710.061	269.866	-281.023	572.877	20.722	-657.579	
356	-1211.39	-472.397	724.127	258.639	-290.802	564.767	46.9333	-643.036	
357	-1200.87	-501.02	716.634	207.526	-301.351	561.926	47.9757	-642.416	
358	-1197.79	-509.507	723.377	204.383	-317.932	546.109	75.3536	-635.4	
359	-1194.89	-595.47	732.812	199.047	-333.842	534.922	90.5253	-602.438	
360	-1176.58	-637.559	709.615	163.92	-317.179	511.997	81.6001	-598.181	
361	-1199.56	-735.036	731.433	165.117	-329.75	476.388	118.819	-597.468	
362	-1175.69	-773.132	756.422	184.378	-125.089	258.969	76.0401	-561.768	
363	-1168.88	-829.541	734.446	161.735	-101.206	191.993	69.177	-550.429	
364	-1214.21	-1005.65	738.422	163.199	40.8328	-70.6159	-93.0222	-360.518	
365	-1138.89	-897.211	736.667	151.69	-114.636	204.352	218.167	-718.025	
366	-1120.95	-896.354	726.104	159.534	18.2307	20.2614	160.43	-660.89	
