FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 	
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
828	1108.38	1106.46	-683.992	-329.147	1426.88	47.1348	-324.129	1360.24
832	1096.01	1140.81	-691.191	-238.729	1430.29	102.494	-389.768	1316.6
836	1091.59	1165.84	-705.762	-176.263	1431.81	162.383	-423.942	1288.9
840	1092.77	1188.82	-712.378	-146.321	1442.9	204.568	-424.636	1288.79
844	1095.7	1204.7	-713.968	-118.627	1458.5	290.362	-401.06	1304.27
848	1099.12	1214.68	-716.765	-104.32	1469.4	348.107	-399.434	1313.58
852	1103.25	1221.96	-722.668	-65.0331	1491.01	411.551	-391.366	1342.65
856	1115.86	1223.1	-735.18	-12.1141	1502.83	470.818	-360.464	1388
860	1133.91	1221.82	-747.282	42.6155	1522.64	526.047	-349.661	1421.97
864	1154.44	1221.8	-754.061	85.0436	1555.77	576.983	-302.95	1453.8
868	1175.62	1213.13	-730.129	81.5101	1595.68	621.056	-299.116	1477.72
872	1192.81	1206.15	-719.224	104.064	1632.77	654.33	-252.451	1517.61
876	1180.29	1227.02	-699.518	122.676	1603.89	744.572	-199.507	1573.46
880	1171.99	1254.36	-682.695	137.364	1584.31	801.283	-172.628	1596
883	1172.04	1275.24	-654.164	150.978	1566.44	855.974	-137.615	1623.24
